Nr, C, P, Nr, C, P,
32, A, ,207, ed, ,
37, C, ,212, ed, ,
42, B, ,217, ed, ,
47, A, ,222, ed, ,
52, B, ,227, ed, ,
57, A, ,232, ed, ,
62, C, ,237, ed, ,
67, B, ,242, ed, ,
72, C, ,247, ed, ,
77, C, ,252, ed, ,
82, C, ,257, ed, ,
87, C, ,262, ed, ,
92, C, ,267, ed, ,
97, B, ,272, ed, ,
102, A, ,277, ed, ,
107, A, ,282, ed, ,
112, C, ,287, ed, ,
117, C, ,292, ed, ,
122, C, ,297, ed, ,
127, B, ,302, ed, ,
132, C, ,307, ed, ,
137, C, ,312, ed, ,
142, C, ,317, ed, ,
147, C, ,322, ed, ,
152, A, ,327, ed, ,
157, A, ,332, ed, ,
162, A, ,337, ed, ,
167, A, ,342, ed, ,
172, B, ,347, ed, ,
177, A, ,352, ed, ,

