Nr, C, P, Nr, C, P,
32, C, ,207, ed, ,
37, C, ,212, ed, ,
42, C, ,217, ed, ,
47, C, ,222, ed, ,
52, C, ,227, ed, ,
57, B, ,232, ed, ,
62, C, ,237, ed, ,
67, C, ,242, ed, ,
72, B, ,247, ed, ,
77, B, ,252, ed, ,
82, B, ,257, ed, ,
87, A, ,262, ed, ,
92, A, ,267, ed, ,
97, A, ,272, ed, ,
102, A, ,277, ed, ,
107, C, ,282, ed, ,
112, C, ,287, ed, ,
117, B, ,292, ed, ,
122, A, ,297, ed, ,
127, C, ,302, ed, ,
132, C, ,307, ed, ,
137, C, ,312, ed, ,
142, A, ,317, ed, ,
147, A, ,322, ed, ,
152, C, ,327, ed, ,
157, A, ,332, ed, ,
162, B, ,337, ed, ,
167, C, ,342, ed, ,
172, A, ,347, ed, ,
177, A, ,352, ed, ,

