Nr, C, P, Nr, C, P,
32, ed, ,207, A, ,
37, ed, ,212, B, ,
42, ed, ,217, A, ,
47, ed, ,222, A, ,
52, ed, ,227, C, ,
57, ed, ,232, B, ,
62, ed, ,237, C, ,
67, ed, ,242, A, ,
72, ed, ,247, C, ,
77, ed, ,252, C, ,
82, ed, ,257, C, ,
87, ed, ,262, B, ,
92, ed, ,267, B, ,
97, ed, ,272, C, ,
102, ed, ,277, C, ,
107, ed, ,282, A, ,
112, ed, ,287, C, ,
117, ed, ,292, A, ,
122, ed, ,297, C, ,
127, ed, ,302, A, ,
132, ed, ,307, C, ,
137, ed, ,312, C, ,
142, ed, ,317, A, ,
147, ed, ,322, B, ,
152, ed, ,327, A, ,
157, ed, ,332, A, ,
162, ed, ,337, C, ,
167, ed, ,342, B, ,
172, ed, ,347, C, ,
177, ed, ,352, C, ,

